County Code,Deaths_per_100k,Number of Substance Use Facilities (As of March 2023),TotActiveMDs,Number of Mental Health Facilities (As of March 2023),MDsPerCapita,Urbanicity,Social Resilience Score,Economic Risk Score,Social Risk Score,Economic Resilience Score,Prosperity Index Score,lat,lng,% of households with broadband internet connection,ACS Total Population,Median Household Income,Percent of Popualtion Employed in Construction,Percent of Popualtion Employed in Manufacturing,Percent of Popualtion Employed in Mining and Natural Resources,Percent of Popualtion Employed in Trade Transporation and Utilities,Percent of Popualtion Employed in Trade Transportation and Utilities,Percent of Populaiton Black (non-Hispanic),Percent of Population 65+,Percent of Population Aged 15 to 64,Percent of Population Aged 25+ who Have a Bachelor's Degree or More,Percent of Population Aged 25+ who Have at Least a High School Diploma,Percent of Population Asian (non-Hispanic),Percent of Population Hispanic or Latino,Percent of Population Native American/Alaska Native (non-Hispanic),Percent of Population Native Hawaiian/Pacific Islander,Percent of Population Under 15,Percent of Population White (non-Hispanic),Percent of Residents with a Disability (Aged 18-64),Poverty Rate,Unemployment Rate
12095,1.990164607,1.778869188,2.588903599,1.965845226,-0.01281658228,1,-1.108900648,-0.6914650144,-1.449126692,-1.23765692,-0.8621935845,28.5144,-81.3235,-1.113561826,3.629278674,0.2642139784,0.05320816843,-0.7524712689,-0.6248498515,-0.1692837179,-0.2301417822,0.7581025398,-1.527169032,1.793973903,1.237225081,0.3163536357,1.325062742,1.527244906,-0.2244586009,-0.02812378403,0.06340201479,-1.726796802,-1.105629879,0.04319439436,0.4303318455
12097,1.682158546,0.6235767461,0.423397397,1.055296295,0.0001122957453,1,-0.2507838241,-1.598058877,-1.449126692,0.5305046338,-0.8621935845,28.0626,-81.1495,-1.366000066,0.6846881003,-0.110870765,0.462586446,-0.9876392148,-0.6345527972,0.3953316697,0.331193876,0.03190031486,-1.195105419,0.9297538275,-0.1111276092,-0.119754422,0.4425961085,3.070091417,-0.2204730335,-0.0518168643,0.6349986498,-2.0900951,-0.2770703014,0.1852749349,0.6497038761
12099,0.9471901604,6.488907607,6.835545632,2.486158902,0.9777343805,1,-1.108900648,-0.6914650144,-0.6181884721,-2.121737696,-1.725484107,26.6476,-80.4655,-1.04784981,4.016984279,0.614261005,0.3887641337,-0.8371859468,-0.4927819797,-0.09076104813,0.02149144387,0.615459816,1.15488323,-0.7124458741,1.486302332,0.3247808445,0.4390329861,0.8854129187,-0.22932985,-0.1051262949,-0.8433071572,-1.017310276,-1.322295593,-0.4064551323,0.541705338
12101,0.7134983179,0.5347080967,0.9014961689,0.01466894494,0.04784969154,1,-0.2507838241,-1.598058877,-0.6181884721,-0.3535761429,-0.8621935845,28.3092,-82.392,-1.633727734,1.234725949,-0.1098074849,1.073298303,-0.8432854036,-0.5817256485,0.7150311111,0.804457905,-0.2763471323,0.9565465923,-0.7033679322,0.1934209951,0.3974655208,0.3843984435,0.3707224583,-0.2058592863,-0.06366340443,-0.5586296174,-0.02542452352,-0.04770349327,-0.4265968181,0.4955809623
12103,0.4718249718,2.223212435,3.010755457,2.61623732,0.4207980962,1,-1.108900648,-0.6914650144,-0.6181884721,-1.23765692,-0.8621935845,27.9198,-82.7255,-1.481484054,2.578540665,0.01915321189,0.2142750317,-0.3702386421,-0.6863018409,-0.3375465818,-0.266918946,0.08594219235,1.235269671,-0.1804784749,0.9961241022,0.6924178303,0.6837007204,0.001546578419,-0.2120590579,-0.01627724389,-1.620006114,-0.08971187674,-0.5602299767,-0.4211531192,0.1648354393
12105,,0.7124453955,0.59213814,0.2748257825,-0.3290768294,1,0.6073330001,-1.598058877,-0.6181884721,0.5305046338,0.001096938403,27.9489,-81.6976,-2.133724608,1.699647151,-0.2521857649,0.3496159377,-0.3665111962,-0.3192070623,1.431083076,0.9486631,0.395117397,0.3510188265,-0.4727882062,-0.1840017395,-0.2935656044,0.1183519752,0.8716943724,-0.211616217,-0.0873564847,0.05779812621,-0.800195106,-0.2344842817,0.1640445093,0.6418289827
12107,,-0.265109748,-0.1109482893,-0.3755663114,0.1343737214,0,0.6073330001,0.2151288487,1.874626186,0.5305046338,0.8643874613,29.6087,-81.7443,-1.571919403,-0.088069245,-1.185922981,0.3361936991,-0.1042345533,-0.1779752973,0.5598553589,0.3495824579,0.5025053338,0.7920173358,-0.8340902965,-0.9722025322,-1.084669835,-0.264089823,0.0461318539,-0.1996595148,-0.06366340443,-0.1517873066,-0.2506794356,0.39608766,1.614790258,1.485567562
12109,,0.1792334991,0.423397397,0.1447473637,0.3561537061,1,-1.967017473,-1.598058877,-1.449126692,-2.121737696,-1.725484107,29.9016,-81.4407,-0.730024862,0.3861240685,1.794248849,0.3887641337,-0.7036756144,-0.5666321774,0.1522853108,0.1173056338,-0.2601113751,0.1136158812,0.03194536709,2.402123492,1.274948642,0.4271559117,-0.1946776285,-0.2200301927,0.02518564657,-0.2100677478,0.3322257904,-1.134020559,-1.153874987,-0.3177830279
12111,,1.245657292,0.8171257974,1.185374714,0.5292017658,1,-0.2507838241,-1.598058877,-0.6181884721,-0.3535761429,-0.8621935845,27.3773,-80.4721,-0.9805112593,0.6093823431,-0.1255541581,0.6012829117,-0.7348506159,-0.3245975877,0.4962893881,0.6505745091,0.718208965,1.072242964,-0.8849267715,-0.003810481982,0.04615625209,0.168235688,0.6686108923,-0.2160446253,-0.111049565,-0.5070738425,-0.9159787887,-0.3069552276,0.03611758583,1.033323683
12113,,-0.1762410986,0.08591591094,-0.2454878926,0.02099740641,1,-0.2507838241,-1.598058877,-0.6181884721,-0.3535761429,-0.8621935845,30.7004,-87.0219,-0.4450559217,0.2040951316,1.096078826,1.057639024,-0.9280000816,-0.5531558639,0.4495497037,0.3389364368,-0.230191194,-0.714289327,0.8707472047,0.665108774,0.7103256491,0.2003037891,-0.2806635169,-0.1859314492,0.07257180711,-0.009448536731,0.3024908131,-0.1620133358,-0.7651948878,0.1907100891
12115,2.090942039,0.7124453955,0.7046319687,0.1447473637,0.07072386036,1,-1.108900648,-1.598058877,-0.6181884721,-2.121737696,-1.725484107,27.1845,-82.3315,-1.351035943,0.9292532451,0.4814775629,1.066587183,-0.6874103962,-0.6534196361,-0.2534151499,-0.09658260836,-0.3150810101,3.709969993,-2.695976194,1.361582427,1.043727099,0.08509616666,-0.01829631891,-0.2160446253,-0.1228961051,-2.205052082,0.3330563763,-0.7821255533,-0.8757019749,0.08833647484
12117,1.87701339,0.8013140449,0.423397397,0.4049042012,-0.2445418577,1,-1.108900648,-1.598058877,-1.449126692,-1.23765692,-1.725484107,28.717,-81.2363,-0.9180523135,1.059616973,0.9467132763,1.619136006,-0.7592484431,-0.6706693173,0.1709811846,0.6331537473,0.1355772215,-0.7871630159,1.242942825,1.783237221,1.104824363,1.035262125,0.7910979129,-0.2235729193,-0.0695866745,-0.3613727395,-0.7113224084,-1.250571771,-0.7984014509,0.210959815
